Gene stable ID,UniProtKB/Swiss-Prot ID
ENSMUSG00000021262,P70429
ENSMUSG00000025498,P70434
ENSMUSG00000020733,P70441
ENSMUSG00000004446,P70444
ENSMUSG00000020091,P70445
ENSMUSG00000000127,P70451
ENSMUSG00000030805,P70452
ENSMUSG00000069094,P70453
ENSMUSG00000030403,P70460
ENSMUSG00000025223,P70662
ENSMUSG00000001942,P70665
ENSMUSG00000061315,P70670
ENSMUSG00000003184,P70671
ENSMUSG00000031628,P70677
ENSMUSG00000021456,P70695
ENSMUSG00000028684,P70697
ENSMUSG00000028633,P70698
ENSMUSG00000025579,P70699
ENSMUSG00000027395,P70700
ENSMUSG00000037685,P70704
ENSMUSG00000030007,P80313
ENSMUSG00000034024,P80314
ENSMUSG00000007739,P80315
ENSMUSG00000022234,P80316
ENSMUSG00000001416,P80318
ENSMUSG00000038766,P81069
ENSMUSG00000030659,P81117
ENSMUSG00000038894,P81122
ENSMUSG00000023027,P81269
ENSMUSG00000035493,P82198
ENSMUSG00000031387,P82343
ENSMUSG00000020354,P82347
ENSMUSG00000029156,P82349
ENSMUSG00000039156,P83093
ENSMUSG00000027692,P83510
ENSMUSG00000045962,P83741
ENSMUSG00000061360,P83870
ENSMUSG00000057130,P83877
ENSMUSG00000049751,P83882
ENSMUSG00000079435,P83882
ENSMUSG00000035198,P83887
ENSMUSG00000018666,P83917
ENSMUSG00000079658,P83940
ENSMUSG00000020440,P84084
ENSMUSG00000025867,P84086
ENSMUSG00000022841,P84091
ENSMUSG00000073982,P84096
ENSMUSG00000017404,P84099
ENSMUSG00000071172,P84104
ENSMUSG00000081058,P84228
ENSMUSG00000093769,P84228
ENSMUSG00000074403,P84228
ENSMUSG00000100210,P84228
ENSMUSG00000069273,P84228
ENSMUSG00000099583,P84228
ENSMUSG00000069310,P84228
ENSMUSG00000069267,P84228
ENSMUSG00000086784,P85094
ENSMUSG00000054662,P86044
ENSMUSG00000038612,P97287
ENSMUSG00000023224,P97290
ENSMUSG00000000753,P97298
ENSMUSG00000032336,P97300
ENSMUSG00000025612,P97302
ENSMUSG00000029642,P97304
ENSMUSG00000002870,P97310
ENSMUSG00000026355,P97311
ENSMUSG00000022672,P97313
ENSMUSG00000020186,P97314
ENSMUSG00000026421,P97315
ENSMUSG00000003779,P97329
ENSMUSG00000025810,P97333
ENSMUSG00000020844,P97346
ENSMUSG00000026413,P97350
ENSMUSG00000028081,P97351
ENSMUSG00000071708,P97355
ENSMUSG00000030199,P97360
ENSMUSG00000021036,P97363
ENSMUSG00000049091,P97364
ENSMUSG00000071715,P97369
ENSMUSG00000032412,P97370
ENSMUSG00000022216,P97371
ENSMUSG00000078153,P97372
ENSMUSG00000079197,P97372
ENSMUSG00000116285,P97372
ENSMUSG00000031590,P97376
ENSMUSG00000025358,P97377
ENSMUSG00000029405,P97379
ENSMUSG00000021866,P97384
ENSMUSG00000015747,P97390
ENSMUSG00000062995,P97411
ENSMUSG00000009545,P97414
ENSMUSG00000072596,P97425
ENSMUSG00000029121,P97427
ENSMUSG00000029994,P97429
ENSMUSG00000017002,P97430
ENSMUSG00000026638,P97431
ENSMUSG00000005417,P97434
ENSMUSG00000004642,P97440
ENSMUSG00000023092,P97447
ENSMUSG00000039062,P97449
ENSMUSG00000022890,P97450
ENSMUSG00000022557,P97452
ENSMUSG00000030672,P97457
ENSMUSG00000061731,P97464
ENSMUSG00000068335,P97465
ENSMUSG00000026335,P97467
ENSMUSG00000030697,P97470
ENSMUSG00000024515,P97471
ENSMUSG00000023051,P97473
ENSMUSG00000027496,P97477
ENSMUSG00000030652,P97478
ENSMUSG00000028886,P97480
ENSMUSG00000022376,P97490
ENSMUSG00000052087,P97492
ENSMUSG00000005354,P97493
ENSMUSG00000032350,P97494
ENSMUSG00000032481,P97496
ENSMUSG00000006281,P97499
ENSMUSG00000024900,P97742
ENSMUSG00000032239,P97762
ENSMUSG00000034341,P97765
ENSMUSG00000030264,P97770
ENSMUSG00000020038,P97784
ENSMUSG00000022865,P97792
ENSMUSG00000021645,P97801
ENSMUSG00000021749,P97805
ENSMUSG00000026526,P97807
ENSMUSG00000009687,P97808
ENSMUSG00000042632,P97819
ENSMUSG00000030560,P97821
ENSMUSG00000015749,P97822
ENSMUSG00000025903,P97823
ENSMUSG00000020737,P97825
ENSMUSG00000018583,P97855
ENSMUSG00000008575,P97863
ENSMUSG00000025076,P97864
ENSMUSG00000020003,P97865
ENSMUSG00000030779,P97868
ENSMUSG00000028088,P97872
ENSMUSG00000019846,P97927
ENSMUSG00000026281,P97930
ENSMUSG00000029591,P97931
ENSMUSG00000042626,P98083
ENSMUSG00000036887,P98086
ENSMUSG00000029330,P98191
ENSMUSG00000031985,P98192
ENSMUSG00000031441,P98197
ENSMUSG00000000325,P98203
ENSMUSG00000098615,P98203
ENSMUSG00000001525,P99024
ENSMUSG00000005779,P99026
ENSMUSG00000025508,P99027
ENSMUSG00000063882,P99028
ENSMUSG00000024953,P99029
ENSMUSG00000071637,Q00322
ENSMUSG00000000782,Q00417
ENSMUSG00000008976,Q00422
ENSMUSG00000037852,Q00493
ENSMUSG00000024066,Q00519
ENSMUSG00000020330,Q00547
ENSMUSG00000031400,Q00612
ENSMUSG00000032083,Q00623
ENSMUSG00000024990,Q00724
ENSMUSG00000071177,Q00897
ENSMUSG00000072849,Q00898
ENSMUSG00000021264,Q00899
ENSMUSG00000046402,Q00915
ENSMUSG00000002602,Q00993
ENSMUSG00000071659,Q00PI9
ENSMUSG00000022489,Q01065
ENSMUSG00000025958,Q01147
ENSMUSG00000029661,Q01149
ENSMUSG00000021670,Q01237
ENSMUSG00000020122,Q01279
ENSMUSG00000020914,Q01320
ENSMUSG00000000049,Q01339
ENSMUSG00000020986,Q01405
ENSMUSG00000026923,Q01705
ENSMUSG00000029255,Q01776
ENSMUSG00000028452,Q01853
ENSMUSG00000004655,Q02013
ENSMUSG00000001924,Q02053
ENSMUSG00000036896,Q02105
ENSMUSG00000006932,Q02248
ENSMUSG00000001552,Q02257
ENSMUSG00000031543,Q02357
ENSMUSG00000034801,Q02384
ENSMUSG00000029267,Q02395
ENSMUSG00000040752,Q02566
ENSMUSG00000020755,Q02614
ENSMUSG00000028565,Q02780
ENSMUSG00000020241,Q02788
ENSMUSG00000030824,Q02819
ENSMUSG00000029053,Q02956
ENSMUSG00000026235,Q03137
ENSMUSG00000007411,Q03141
ENSMUSG00000006445,Q03145
ENSMUSG00000003534,Q03146
ENSMUSG00000069089,Q03147
ENSMUSG00000019312,Q03160
ENSMUSG00000022995,Q03173
ENSMUSG00000025428,Q03265
ENSMUSG00000116276,Q03265
ENSMUSG00000050711,Q03517
ENSMUSG00000079012,Q03734
ENSMUSG00000024309,Q03958
ENSMUSG00000024079,Q03963
ENSMUSG00000024927,Q04207
ENSMUSG00000001270,Q04447
ENSMUSG00000020716,Q04690
ENSMUSG00000029920,Q04692
ENSMUSG00000031065,Q04735
ENSMUSG00000014932,Q04736
ENSMUSG00000070544,Q04750
ENSMUSG00000001119,Q04857
ENSMUSG00000002983,Q04863
ENSMUSG00000000567,Q04887
ENSMUSG00000026437,Q04899
ENSMUSG00000001348,Q05117
ENSMUSG00000033220,Q05144
ENSMUSG00000005973,Q05186
ENSMUSG00000027533,Q05816
ENSMUSG00000044042,Q05860
ENSMUSG00000028047,Q05895
ENSMUSG00000037580,Q05915
ENSMUSG00000066800,Q05921
ENSMUSG00000082361,Q05928
ENSMUSG00000060798,Q059U7
ENSMUSG00000116357,Q059U7
ENSMUSG00000037253,Q05A36
ENSMUSG00000058070,Q05BC3
ENSMUSG00000027968,Q05CL8
ENSMUSG00000026083,Q05D44
ENSMUSG00000036707,Q06138
ENSMUSG00000024539,Q06180
ENSMUSG00000050856,Q06185
ENSMUSG00000076431,Q06831
ENSMUSG00000022037,Q06890
ENSMUSG00000021814,Q07076
ENSMUSG00000026185,Q07079
ENSMUSG00000023830,Q07113
ENSMUSG00000027699,Q07139
ENSMUSG00000037017,Q07231
ENSMUSG00000029545,Q07417
ENSMUSG00000028356,Q07456
ENSMUSG00000033880,Q07797
ENSMUSG00000003873,Q07813
ENSMUSG00000030867,Q07832
ENSMUSG00000031885,Q08024
ENSMUSG00000001349,Q08091
ENSMUSG00000004665,Q08093
ENSMUSG00000032280,Q08122
ENSMUSG00000027401,Q08189
ENSMUSG00000067367,Q08288
ENSMUSG00000027323,Q08297
ENSMUSG00000003657,Q08331
ENSMUSG00000049672,Q08376
ENSMUSG00000020717,Q08481
ENSMUSG00000015766,Q08509
ENSMUSG00000038482,Q08639
ENSMUSG00000023140,Q08731
ENSMUSG00000022912,Q08761
ENSMUSG00000002944,Q08857
ENSMUSG00000006369,Q08879
ENSMUSG00000027067,Q08943
ENSMUSG00000015950,Q09014
ENSMUSG00000032099,Q09098
ENSMUSG00000041313,Q09143
ENSMUSG00000013418,Q09199
ENSMUSG00000006731,Q09200
ENSMUSG00000038843,Q09324
ENSMUSG00000053754,Q09XV5
ENSMUSG00000034848,Q0HA38
ENSMUSG00000028243,Q0KL01
ENSMUSG00000022263,Q0KL02
ENSMUSG00000033653,Q0P5W1
ENSMUSG00000017478,Q0P678
ENSMUSG00000034584,Q0VAV2
ENSMUSG00000048109,Q0VBL3
ENSMUSG00000032358,Q0VBM2
ENSMUSG00000035007,Q0VDN7
ENSMUSG00000039841,Q0VEE6
ENSMUSG00000035168,Q0VGY8
ENSMUSG00000001441,Q11011
ENSMUSG00000049307,Q11127
ENSMUSG00000063931,Q11136
ENSMUSG00000046761,Q148V8
ENSMUSG00000039529,Q148W0
ENSMUSG00000027324,Q149F1
ENSMUSG00000071723,Q149F3
ENSMUSG00000074212,Q149L6
ENSMUSG00000022422,Q14AI0
ENSMUSG00000051169,Q14AI6
ENSMUSG00000003119,Q14AX6
ENSMUSG00000048922,Q14B71
ENSMUSG00000063884,Q14C51
ENSMUSG00000023938,Q14CH7
ENSMUSG00000044716,Q18PE0
ENSMUSG00000021595,Q1HFZ0
ENSMUSG00000034422,Q2EMV9
ENSMUSG00000043019,Q2HXL6
ENSMUSG00000056293,Q2KHK6
ENSMUSG00000033444,Q2KN98
ENSMUSG00000057177,Q2NL51
ENSMUSG00000030465,Q2PFD7
ENSMUSG00000032688,Q2TBA3
ENSMUSG00000025178,Q2TBE6
ENSMUSG00000028383,Q2TPA8
ENSMUSG00000008845,Q2VLH6
ENSMUSG00000028863,Q2VPQ9
ENSMUSG00000028197,Q30D77
ENSMUSG00000001138,Q32NY4
ENSMUSG00000030650,Q32NZ6
ENSMUSG00000038240,Q33DR3
ENSMUSG00000024687,Q3B7Z2
ENSMUSG00000023307,Q3KNM2
ENSMUSG00000111123,Q3KNM2
ENSMUSG00000000295,Q3SXD3
ENSMUSG00000026213,Q3TAA7
ENSMUSG00000035697,Q3TBD2
ENSMUSG00000024349,Q3TBT3
ENSMUSG00000001445,Q3TBW2
ENSMUSG00000021578,Q3TC33
ENSMUSG00000046139,Q3TC46
ENSMUSG00000020605,Q3TC93
ENSMUSG00000031446,Q3TCH7
ENSMUSG00000029598,Q3TCN2
ENSMUSG00000028060,Q3TCX3
ENSMUSG00000034709,Q3TDD9
ENSMUSG00000025873,Q3TDN2
ENSMUSG00000032872,Q3TDX8
ENSMUSG00000028759,Q3TEA8
ENSMUSG00000032300,Q3TEI4
ENSMUSG00000026566,Q3TEW6
ENSMUSG00000021608,Q3TFD2
ENSMUSG00000028069,Q3TFK5
ENSMUSG00000021930,Q3TFQ1
ENSMUSG00000034868,Q3THE2
ENSMUSG00000075528,Q3THG9
ENSMUSG00000024841,Q3THJ3
ENSMUSG00000002658,Q3THK3
ENSMUSG00000027823,Q3THK7
ENSMUSG00000053907,Q3THS6
ENSMUSG00000104463,Q3THS6
ENSMUSG00000021711,Q3TIR1
ENSMUSG00000025485,Q3TIR3
ENSMUSG00000043702,Q3TIU4
ENSMUSG00000116251,Q3TIU4
ENSMUSG00000027091,Q3TIV5
ENSMUSG00000056305,Q3TIX9
ENSMUSG00000104250,Q3TIX9
ENSMUSG00000020782,Q3TJ91
ENSMUSG00000021493,Q3TJD7
ENSMUSG00000036672,Q3TJM4
ENSMUSG00000002017,Q3TJZ6
ENSMUSG00000032187,Q3TKT4
ENSMUSG00000021715,Q3TKY6
ENSMUSG00000026492,Q3TL26
ENSMUSG00000032109,Q3TL44
ENSMUSG00000030421,Q3TLD5
ENSMUSG00000028601,Q3TLP5
ENSMUSG00000050973,Q3TLS3
ENSMUSG00000008226,Q3TMH2
ENSMUSG00000060615,Q3TMQ6
ENSMUSG00000063605,Q3TMW1
ENSMUSG00000036327,Q3TMX7
ENSMUSG00000036718,Q3TN34
ENSMUSG00000035769,Q3TNA1
ENSMUSG00000064138,Q3TNH5
ENSMUSG00000044948,Q3TNL8
ENSMUSG00000018559,Q3TP92
ENSMUSG00000036188,Q3TPE9
ENSMUSG00000061244,Q3TPX4
ENSMUSG00000039048,Q3TQB2
ENSMUSG00000026851,Q3TQI7
ENSMUSG00000004565,Q3TRM4
ENSMUSG00000025877,Q3TRM8
ENSMUSG00000042650,Q3TSG4
ENSMUSG00000056692,Q3TT38
ENSMUSG00000041215,Q3TUF7
ENSMUSG00000026049,Q3TUU5
ENSMUSG00000003199,Q3TV65
ENSMUSG00000071078,Q3TV70
ENSMUSG00000042613,Q3TVI8
ENSMUSG00000056069,Q3TVP5
ENSMUSG00000026956,Q3TW96
ENSMUSG00000016921,Q3TWW8
ENSMUSG00000026229,Q3TXS7
ENSMUSG00000060038,Q3TXU5
ENSMUSG00000018820,Q3TXX3
ENSMUSG00000079184,Q3TYA6
ENSMUSG00000038970,Q3TYD6
ENSMUSG00000039294,Q3TYS2
ENSMUSG00000033706,Q3TYX3
ENSMUSG00000033966,Q3TZA2
ENSMUSG00000063362,Q3TZM9
ENSMUSG00000028948,Q3TZX8
ENSMUSG00000021171,Q3TZZ7
ENSMUSG00000034449,Q3U0B3
ENSMUSG00000037410,Q3U0J8
ENSMUSG00000033009,Q3U0K8
ENSMUSG00000047921,Q3U0M1
ENSMUSG00000044562,Q3U0S6
ENSMUSG00000007670,Q3U0V1
ENSMUSG00000031887,Q3U0V2
ENSMUSG00000057691,Q3U133
ENSMUSG00000027936,Q3U182
ENSMUSG00000028292,Q3U186
ENSMUSG00000027508,Q3U1F9
ENSMUSG00000024740,Q3U1J4
ENSMUSG00000022463,Q3U1N2
ENSMUSG00000043262,Q3U1V6
ENSMUSG00000048897,Q3U288
ENSMUSG00000038838,Q3U2A8
ENSMUSG00000048234,Q3U2C5
ENSMUSG00000044465,Q3U2I3
ENSMUSG00000021495,Q3U2K0
ENSMUSG00000036391,Q3U2P1
ENSMUSG00000031154,Q3U2S4
ENSMUSG00000064267,Q3U2S8
ENSMUSG00000049482,Q3U308
ENSMUSG00000030816,Q3U319
ENSMUSG00000031822,Q3U3C9
ENSMUSG00000041040,Q3U3E2
ENSMUSG00000074405,Q3U3I9
ENSMUSG00000042570,Q3U3N0
ENSMUSG00000032308,Q3U3Q1
ENSMUSG00000002279,Q3U3R4
ENSMUSG00000037134,Q3U3W5
ENSMUSG00000046861,Q3U487
ENSMUSG00000047434,Q3U4G3
ENSMUSG00000041477,Q3U564
ENSMUSG00000029032,Q3U5C8
ENSMUSG00000028889,Q3U5F4
ENSMUSG00000020638,Q3U5Q7
ENSMUSG00000063236,Q3U6N9
ENSMUSG00000025366,Q3U7R1
ENSMUSG00000001786,Q3U7U3
ENSMUSG00000025995,Q3U821
ENSMUSG00000039623,Q3U829
ENSMUSG00000026042,Q3U962
ENSMUSG00000004880,Q3U9G9
ENSMUSG00000019838,Q3U9N9
ENSMUSG00000021569,Q3UA06
ENSMUSG00000005233,Q3UA16
ENSMUSG00000011114,Q3UB74
ENSMUSG00000034659,Q3UBX0
ENSMUSG00000020743,Q3UBZ5
ENSMUSG00000046034,Q3UCV8
ENSMUSG00000074748,Q3UD01
ENSMUSG00000016757,Q3UDE2
ENSMUSG00000042726,Q3UDK1
ENSMUSG00000042015,Q3UDP0
ENSMUSG00000071074,Q3UDR8
ENSMUSG00000037260,Q3UDW8
ENSMUSG00000014349,Q3UE37
ENSMUSG00000074182,Q3UFB2
ENSMUSG00000024816,Q3UFK8
ENSMUSG00000001569,Q3UFM5
ENSMUSG00000034636,Q3UFS0
ENSMUSG00000042680,Q3UFT3
ENSMUSG00000017176,Q3UFY7
ENSMUSG00000044763,Q3UFY8
ENSMUSG00000027236,Q3UGC7
ENSMUSG00000075470,Q3UGP8
ENSMUSG00000025421,Q3UGR5
ENSMUSG00000061111,Q3UGS4
ENSMUSG00000019852,Q3UGY8
ENSMUSG00000039087,Q3UH06
ENSMUSG00000023026,Q3UH60
ENSMUSG00000033396,Q3UHA3
ENSMUSG00000054027,Q3UHB1
ENSMUSG00000015133,Q3UHC2
ENSMUSG00000026883,Q3UHC7
ENSMUSG00000029651,Q3UHD3
ENSMUSG00000028136,Q3UHD6
ENSMUSG00000037172,Q3UHG7
ENSMUSG00000021819,Q3UHH1
ENSMUSG00000038267,Q3UHH2
ENSMUSG00000036197,Q3UHH8
ENSMUSG00000057230,Q3UHJ0
ENSMUSG00000036298,Q3UHK1
ENSMUSG00000048078,Q3UHK6
ENSMUSG00000052707,Q3UHK8
ENSMUSG00000054008,Q3UHN9
ENSMUSG00000022946,Q3UHQ6
ENSMUSG00000052105,Q3UHU5
ENSMUSG00000021392,Q3UHX0
ENSMUSG00000029623,Q3UHX2
ENSMUSG00000039660,Q3UHX9
ENSMUSG00000031820,Q3UI43
ENSMUSG00000030766,Q3UIA2
ENSMUSG00000041361,Q3UIJ9
ENSMUSG00000028114,Q3UIK4
ENSMUSG00000049502,Q3UIR3
ENSMUSG00000071014,Q3UIU2
ENSMUSG00000041740,Q3UIW5
ENSMUSG00000036810,Q3UJ81
ENSMUSG00000023952,Q3UJK4
ENSMUSG00000070730,Q3UJU9
ENSMUSG00000024805,Q3UK78
ENSMUSG00000004535,Q3UKC1
ENSMUSG00000028409,Q3UKJ7
ENSMUSG00000040459,Q3UL36
ENSMUSG00000021646,Q3ULD5
ENSMUSG00000000738,Q3ULF4
ENSMUSG00000050627,Q3ULJ0
ENSMUSG00000022538,Q3UM18
ENSMUSG00000026275,Q3UM45
ENSMUSG00000049323,Q3UMB5
ENSMUSG00000034560,Q3UMB9
ENSMUSG00000027722,Q3UMC0
ENSMUSG00000034903,Q3UMF0
ENSMUSG00000033862,Q3UMM4
ENSMUSG00000009647,Q3UMR5
ENSMUSG00000019254,Q3UMT1
ENSMUSG00000002833,Q3UMU9
ENSMUSG00000032577,Q3UMW7
ENSMUSG00000022125,Q3UMW8
ENSMUSG00000031570,Q3UMZ3
ENSMUSG00000054469,Q3UN02
ENSMUSG00000029592,Q3UN04
ENSMUSG00000042271,Q3UNA4
ENSMUSG00000072571,Q3UNB8
ENSMUSG00000059182,Q3UND0
ENSMUSG00000026380,Q3UNW5
ENSMUSG00000030935,Q3UNX5
ENSMUSG00000039193,Q3UP24
ENSMUSG00000020125,Q3UP87
ENSMUSG00000024594,Q3UPH1
ENSMUSG00000004562,Q3UPH7
ENSMUSG00000035325,Q3UPL0
ENSMUSG00000032534,Q3UPP8
ENSMUSG00000089876,Q3UPR7
ENSMUSG00000032719,Q3UPR9
ENSMUSG00000003051,Q3UPW2
ENSMUSG00000020674,Q3UQ28
ENSMUSG00000021676,Q3UQ44
ENSMUSG00000028107,Q3UQ84
ENSMUSG00000076437,Q3UQA7
ENSMUSG00000041685,Q3UQN2
ENSMUSG00000057649,Q3UQU0
ENSMUSG00000030031,Q3UQV5
ENSMUSG00000070939,Q3UR70
ENSMUSG00000021870,Q3URD3
ENSMUSG00000015016,Q3URE1
ENSMUSG00000028345,Q3URQ0
ENSMUSG00000025645,Q3URS9
ENSMUSG00000038122,Q3URV1
ENSMUSG00000040728,Q3US41
ENSMUSG00000029439,Q3USH5
ENSMUSG00000030691,Q3USJ8
ENSMUSG00000045414,Q3USZ8
ENSMUSG00000031626,Q3UTJ2
ENSMUSG00000042496,Q3UTQ7
ENSMUSG00000032289,Q3UTY6
ENSMUSG00000026490,Q3UU96
ENSMUSG00000028145,Q3UUI3
ENSMUSG00000073678,Q3UUQ7
ENSMUSG00000049225,Q3UV70
ENSMUSG00000037119,Q3UVG3
ENSMUSG00000116351,Q3UVG3
ENSMUSG00000046324,Q3UVK0
ENSMUSG00000024799,Q3UVL4
ENSMUSG00000024797,Q3UVL4
ENSMUSG00000026483,Q3UW53
ENSMUSG00000043705,Q3UW68
ENSMUSG00000042638,Q3UWA6
ENSMUSG00000067750,Q3UWR2
ENSMUSG00000021216,Q3UX10
ENSMUSG00000030180,Q3UXZ9
ENSMUSG00000034613,Q3UYC0
ENSMUSG00000028330,Q3UYV9
ENSMUSG00000027981,Q3UZ01
ENSMUSG00000026305,Q3UZ39
ENSMUSG00000074651,Q3UZ45
ENSMUSG00000021636,Q3UZP0
ENSMUSG00000022544,Q3UZW7
ENSMUSG00000022026,Q3UZZ4
ENSMUSG00000029273,Q3UZZ6
ENSMUSG00000032180,Q3V009
ENSMUSG00000039492,Q3V036
ENSMUSG00000043411,Q3V0C5
ENSMUSG00000049493,Q3V0K9
ENSMUSG00000025041,Q3V1L4
ENSMUSG00000045934,Q3V1L6
ENSMUSG00000036334,Q3V1M1
ENSMUSG00000028641,Q3V1T4
ENSMUSG00000045624,Q3V1V3
ENSMUSG00000034757,Q3V209
ENSMUSG00000030677,Q3V300
ENSMUSG00000038302,Q3V384
ENSMUSG00000070305,Q3V3F6
ENSMUSG00000021143,Q3V3Q7
ENSMUSG00000040675,Q3V3R1
ENSMUSG00000042284,Q3V3R4
ENSMUSG00000075486,Q3V4B5
ENSMUSG00000036099,Q3ZK22
ENSMUSG00000046994,Q499X9
ENSMUSG00000022623,Q4ACU6
ENSMUSG00000063800,Q4FK66
ENSMUSG00000054150,Q4FZC9
ENSMUSG00000057788,Q4FZF3
ENSMUSG00000039473,Q4G0F8
ENSMUSG00000020978,Q4G5Y1
ENSMUSG00000078664,Q4KL71
ENSMUSG00000068893,Q4KL71
ENSMUSG00000074445,Q4KL71
ENSMUSG00000036834,Q4KWH5
ENSMUSG00000032812,Q4LDD4
ENSMUSG00000006010,Q4PJX1
ENSMUSG00000057530,Q4PZA2
ENSMUSG00000068735,Q4QQM4
ENSMUSG00000047810,Q4QRL3
ENSMUSG00000017550,Q4QY64
ENSMUSG00000030451,Q4U2R1
ENSMUSG00000034021,Q4VA53
ENSMUSG00000032803,Q4VAA2
ENSMUSG00000032733,Q4VAA7
ENSMUSG00000052609,Q4VAC9
ENSMUSG00000062373,Q4VAE3
ENSMUSG00000046985,Q4VBD2
ENSMUSG00000035754,Q4VBE8
ENSMUSG00000035781,Q4VBF2
ENSMUSG00000079562,Q4VC33
ENSMUSG00000040423,Q4VGL6
ENSMUSG00000057411,Q501J2
ENSMUSG00000055065,Q501J6
ENSMUSG00000066043,Q501J7
ENSMUSG00000071553,Q504N0
ENSMUSG00000057572,Q505B7
ENSMUSG00000014496,Q505D1
ENSMUSG00000052214,Q505D7
ENSMUSG00000029028,Q505F5
ENSMUSG00000051000,Q505K2
ENSMUSG00000047248,Q52KB6
ENSMUSG00000027829,Q52KE7
ENSMUSG00000049600,Q52KG4
ENSMUSG00000044229,Q52KP5
ENSMUSG00000021500,Q569Z5
ENSMUSG00000043962,Q569Z6
ENSMUSG00000031148,Q56A08
ENSMUSG00000022419,Q570Y9
ENSMUSG00000015027,Q571E4
ENSMUSG00000035310,Q571G4
ENSMUSG00000050271,Q571I4
ENSMUSG00000035476,Q571K4
ENSMUSG00000020859,Q58A65
ENSMUSG00000027068,Q58NB6
ENSMUSG00000068184,Q59J78
ENSMUSG00000042179,Q5BKQ4
ENSMUSG00000005907,Q5BL07
ENSMUSG00000058152,Q5DTK1
ENSMUSG00000028309,Q5DTM8
ENSMUSG00000042506,Q5DU02
ENSMUSG00000066440,Q5DU37
ENSMUSG00000036893,Q5DW34
ENSMUSG00000078584,Q5EBG8
ENSMUSG00000038000,Q5EE38
ENSMUSG00000050697,Q5EG47
ENSMUSG00000070394,Q5F285
ENSMUSG00000037857,Q5F2E7
ENSMUSG00000017291,Q5F2E8
ENSMUSG00000000686,Q5F2F2
ENSMUSG00000037188,Q5FWH3
ENSMUSG00000024754,Q5FWI3
ENSMUSG00000027247,Q5FWK3
ENSMUSG00000046230,Q5H8C4
ENSMUSG00000015126,Q5HZH2
ENSMUSG00000045973,Q5HZI9
ENSMUSG00000038215,Q5HZK1
ENSMUSG00000061306,Q5I012
ENSMUSG00000032267,Q5I043
ENSMUSG00000040734,Q5I1X5
ENSMUSG00000029221,Q5IRJ6
ENSMUSG00000031803,Q5JCS9
ENSMUSG00000032226,Q5JCT0
ENSMUSG00000041236,Q5KU39
ENSMUSG00000044629,Q5M8N0
ENSMUSG00000022223,Q5M8N4
ENSMUSG00000021120,Q5M9N4
ENSMUSG00000040483,Q5NBU8
ENSMUSG00000020173,Q5NBX1
ENSMUSG00000040365,Q5NCC3
ENSMUSG00000021339,Q5NCE8
ENSMUSG00000049299,Q5NCF2
ENSMUSG00000049680,Q5NCI0
ENSMUSG00000078789,Q5NCQ5
ENSMUSG00000037958,Q5NCR9
ENSMUSG00000018476,Q5NCY0
ENSMUSG00000038195,Q5ND29
ENSMUSG00000045374,Q5ND34
ENSMUSG00000069808,Q5ND56
ENSMUSG00000047842,Q5PR73
ENSMUSG00000049504,Q5PRE5
ENSMUSG00000035181,Q5PRF0
ENSMUSG00000061458,Q5RJG1
ENSMUSG00000032776,Q5RJH2
ENSMUSG00000042772,Q5RJH6
ENSMUSG00000035293,Q5RJY2
ENSMUSG00000064120,Q5RKZ7
ENSMUSG00000028018,Q5RL51
ENSMUSG00000042747,Q5RL79
ENSMUSG00000036273,Q5S006
ENSMUSG00000033581,Q5SF07
ENSMUSG00000024491,Q5SFM8
ENSMUSG00000032740,Q5SNZ0
ENSMUSG00000020340,Q5SQX6
ENSMUSG00000000538,Q5SRX1
ENSMUSG00000020271,Q5SRY7
ENSMUSG00000020834,Q5SS80
ENSMUSG00000055670,Q5SSH7
ENSMUSG00000054079,Q5SSI6
ENSMUSG00000046909,Q5SSK3
ENSMUSG00000017631,Q5SSL4
ENSMUSG00000040850,Q5SSW2
ENSMUSG00000020422,Q5SSZ5
ENSMUSG00000020437,Q5SUA5
ENSMUSG00000069844,Q5SUC9
ENSMUSG00000020864,Q5SUE8
ENSMUSG00000020863,Q5SUF2
ENSMUSG00000020899,Q5SUR0
ENSMUSG00000020530,Q5SV77
ENSMUSG00000020527,Q5SV80
ENSMUSG00000034940,Q5SV85
ENSMUSG00000020846,Q5SVD0
ENSMUSG00000038807,Q5SVL6
ENSMUSG00000038909,Q5SVQ0
ENSMUSG00000036644,Q5SVR0
ENSMUSG00000016984,Q5SVT3
ENSMUSG00000037926,Q5SW75
ENSMUSG00000038335,Q5SWD9
ENSMUSG00000018740,Q5SWT3
ENSMUSG00000020532,Q5SWU9
ENSMUSG00000034297,Q5SWW4
ENSMUSG00000042377,Q5SWY7
ENSMUSG00000056328,Q5SX40
ENSMUSG00000042331,Q5SXY1
ENSMUSG00000035441,Q5SYD0
ENSMUSG00000051232,Q5SYH2
ENSMUSG00000015087,Q5U3K5
ENSMUSG00000044308,Q5U430
ENSMUSG00000039768,Q5U458
ENSMUSG00000035498,Q5U462
ENSMUSG00000038406,Q5U4C3
ENSMUSG00000041319,Q5U4D9
ENSMUSG00000035878,Q5U5V2
ENSMUSG00000028522,Q5UAK0
ENSMUSG00000022533,Q5XF89
ENSMUSG00000024273,Q5XFZ0
ENSMUSG00000026781,Q5XG73
ENSMUSG00000042487,Q5XJE5
ENSMUSG00000034269,Q5XJV7
ENSMUSG00000033918,Q5XJY4
